spectrum	 marker	 m/z 	 intensity  	10116	2746895	51338	89248	9365	9627	9767	9793	9796	 Best Guess
Castor-TOF.csv	COL1A1-508/P1-1H	1105.56986456	623.954123793			X							
Castor-TOF.csv	COL1A2-793/D-3H	2129.14338807	203.634333571			X							
Castor-TOF.csv	COL1A2-757/G-5H	2999.58894064	5.35140979218			X							
Castor-TOF.csv	COL1A2-978/A-0H	1177.59461117	39.2244140832			X							
Castor-TOF.csv	COL1A2-292/P2-2H	1596.76586993	49.265218638			X							
Castor-TOF.csv	COL1A2-484/B-2H	1427.72417282	455.956344584			X							
Castor-TOF.csv	COL1A2-978/A-1H	1193.6156535	53.6562177637			X							
Castor-TOF.csv	COL1A2-502/C-1H	1593.75871068	32.0170668962			X							
Castor-TOF.csv	 SCORE 					3.05e-24							3.05e-24: 51338(Castor canadensis) 
Hedgehog-TOF.csv	COL1A1-508/P1-1H	1105.56608685	1337.61002732					X					
Hedgehog-TOF.csv	COL1A2-484/B-2H	1453.7394766	1684.15597564					X					
Hedgehog-TOF.csv	COL1A2-502/C-1H	1565.7847699	55.4015804628					X					
Hedgehog-TOF.csv	COL1A2-793/D-3H	2207.08863849	308.089400437					X					
Hedgehog-TOF.csv	COL1A2-292/P2-1H	1608.80976716	191.304733384					X					
Hedgehog-TOF.csv	COL1A1-586/F-2H	2869.3331774	12.1477510281					X					
Hedgehog-TOF.csv	 SCORE 							1.70e-13					1.70e-13: 9365(Erinaceus europaeus) 
Horse-TOF.csv	COL1A2-292/P2-2H	1649.73212299	21.4840905264				X				X	X	
Horse-TOF.csv	COL1A1-586/F-3H	2899.36189237	10.8830717223				X				X	X	
Horse-TOF.csv	COL1A2-484/B-2H	1427.70601152	1952.53691398				X				X	X	
Horse-TOF.csv	COL1A2-757/G-4H	2983.53554621	14.4024364425				X				X	X	
Horse-TOF.csv	COL1A2-502/C-1H	1550.75364999	74.5606406329				X				X	X	
Horse-TOF.csv	COL1A2-978/A-0H	1182.59106579	76.3762873056				X				X	X	
Horse-TOF.csv	COL1A2-978/A-1H	1198.56951859	30.3267791006				X				X	X	
Horse-TOF.csv	COL1A1-508/P1-1H	1105.56590712	1011.23029694				X				X	X	
Horse-TOF.csv	COL1A2-793/D-3H	2145.11362937	1535.3159499				X				X	X	
Horse-TOF.csv	COL1A2-757/G-5H	2999.52795671	20.6853547574				X				X	X	
Horse-TOF.csv	COL1A1-586/F-2H	2883.42549477	248.983913998				X				X	X	
Horse-TOF.csv	 SCORE 						8.65e-49				8.65e-49	8.65e-49	8.65e-49: 9796(Equus caballus) 9793(Equus asinus) 89248(Equus quagga) 
Rattus-TOF.csv	COL1A2-502/C-1H	1566.77401509	15.3503455753	X									
Rattus-TOF.csv	COL1A2-793/D-3H	2143.15924897	66.3129069034	X									
Rattus-TOF.csv	COL1A2-484/B-2H	1453.73648997	920.637077991	X									
Rattus-TOF.csv	COL1A1-508/P1-1H	1105.56760317	519.750791564	X									
Rattus-TOF.csv	COL1A1-586/F-2H	2883.43342145	10.9102259095	X									
Rattus-TOF.csv	COL1A2-978/A-1H	1203.6736983	22.4258463583	X									
Rattus-TOF.csv	COL1A2-292/P2-2H	1592.84250235	23.2926450414	X									
Rattus-TOF.csv	COL1A2-757/G-4H	2987.48333718	6.94305145595	X									
Rattus-TOF.csv	 SCORE 			1.18e-23									1.18e-23: 10116(Rattus norvegicus) 
Vulpes-TOF.csv	COL1A2-502/C-1H	1566.75576395	41.8427282082						X				
Vulpes-TOF.csv	COL1A1-508/P1-1H	1105.57246118	246.726757387						X				
Vulpes-TOF.csv	COL1A2-978/A-1H	1226.64091801	45.2430551747						X				
Vulpes-TOF.csv	COL1A1-586/F-2H	2853.40457852	191.299167456						X				
Vulpes-TOF.csv	COL1A2-793/D-3H	2131.10367695	540.77168566						X				
Vulpes-TOF.csv	COL1A2-757/G-5H	2999.47945785	75.8507717158						X				
Vulpes-TOF.csv	COL1A1-586/F-3H	2869.46142559	21.701427283						X				
Vulpes-TOF.csv	COL1A2-292/P2-1H	1593.79332418	30.0621349746						X				
Vulpes-TOF.csv	COL1A2-484/B-2H	1437.71000706	629.977075512						X				
Vulpes-TOF.csv	 SCORE 								1.34e-30				1.34e-30: 9627(Vulpes vulpes) 
Whale-TOF.csv	COL1A2-757/G-4H	3007.39073443	88.1924913226		X					X			
Whale-TOF.csv	COL1A2-978/A-1H	1205.57976309	43.4149541234		X					X			
Whale-TOF.csv	COL1A2-757/G-5H	3023.38229911	604.231499022		X					X			
Whale-TOF.csv	COL1A2-502/C-1H	1577.70022791	113.516064964		X					X			
Whale-TOF.csv	COL1A2-484/B-2H	1441.64741497	652.46778357		X					X			
Whale-TOF.csv	COL1A1-586/F-2H	2883.33583003	218.897410148		X					X			
Whale-TOF.csv	COL1A1-508/P1-0H	1079.51775026	357.661176556		X					X			
Whale-TOF.csv	COL1A2-292/P2-2H	1652.75868419	193.08982407		X					X			
Whale-TOF.csv	COL1A1-586/F-3H	2899.34147817	22.0596047978		X					X			
Whale-TOF.csv	COL1A2-793/D-2H	2135.0381782	502.926918535		X					X			
Whale-TOF.csv	 SCORE 				7.21e-40					7.21e-40			7.21e-40: 2746895(Balaenoptera ricei) 9767(Balaenoptera acutorostrata) 
